Reference_ID,Reference_Source,Authors,Year_published,Title,Source,Volume,First_page,Last_page,N_pages,SUDOCS,N_sites
Oaten2008,Web of Science,Dustin K. Oaten and Karl W. Larsen,2008,"Aspen stands as small mammal ""hotspots"" within dry forest ecosystems of British Columbia",Northwest Science,82,276,285,10,NULL,3
OBrien2009,UMI,Carrie J. O'Brien,2009,Terrestrial small mammals from the Gamba Complex of Gabon: Distribution patterns and landscape influences,Utah State University,NULL,NULL,NULL,71,NULL,5
OFarrell1974,Brown & Kurzius 1987,Michael J. O'Farrell,1974,Seasonal activity patterns of rodents in a sagebrush community,Journal of Mammalogy,55,809,823,15,NULL,1
OFarrell1975,Brown & Kurzius 1987,Thomas P. O'Farrell,1975,Seasonal and altitudinal variations in populations of small mammals on Rattlesnake Mountain; Washington,American Midland Naturalist,94,190,204,15,NULL,4
Olayemi2008,Web of Science,Ayodeji Olayemi and Akinsola Akinpelu,2008,Diversity and distribution of murid rodent populations between forest and derived savanna sites within southwestern Nigeria,Biodiversity and Conservation,17,2411,2425,15,NULL,5
Osbourne2002,UMI,Joseph Daniel Osbourne,2002,Effects of edge and coarse woody debris on small mammal communities in riparian and upland habitats in northern West Virginia,West Virginia University,NULL,1,143,143,NULL,3
Ostoja2008,UMI,Steven M. Ostoja,2008,Granivores and restoration: Implications on invasion and considerations of context-dependent seed removal,Utah State University,NULL,NULL,NULL,235,NULL,2
Pasitschniak-Arts1998,Web of Science,Maria Pasitschniak-Arts and Francois Messier,1998,Effects of edges and habitats on small mammals in a prairie ecosystem,Canadian Journal of Zoology,76,2020,2025,6,NULL,4
PAugust1981,UMI,Peter V. August,1981,Population and community ecology of small mammals in northern Venezuela,Boston University,NULL,1,218,218,NULL,6
PetryszynUP,Brown & Kurzius 1987,Yar Petryszyn,NULL,unpublished,NULL,NULL,NULL,NULL,NULL,NULL,3
Phelps2009,BioOne,Kendra Lyn Phelps and Karen McBee,2009,Ecological characteristics of small mammal communities inhabiting Tar Creek superfund site; Oklahoma,American Midland Naturalist,161,57,68,12,NULL,4
Price1984,Web of Science,Mary V. Price and Kathryn A. Kramer,1984,On measuring  the microhabitat affinities with special reference to small mammals,Oikos,42,349,354,6,NULL,1
Rickard1960,Brown & Kurzius 1987,William H. Rickard,1960,The distribution of small mammals in relation to the climax vegetation mosaic in eastern Washington and northern Idaho,Ecology,41,99,106,8,NULL,24
Rogovin1995,JSTOR,Kontant?n A. Rogovin and Georgy I. Shenbrot,1995,Geographical ecology of Mongolian desert rodent communities,Journal of Biogeography,22,111,128,18,NULL,3
Rosa2006,UMI,Silvia A. S. Rosa,2006,Highway effects on small mammal communities and effectiveness of a deer-vehicle collision mitigation strategy,Utah State University,NULL,1,76,76,NULL,2
Rosenzweig1969,Brown & Kurzius 1987,Michael L. Rosenzweig and Jerald Winakur,1969,Population ecology of desert rodent communities: Habitats and environmental complexity,Ecology,50,558,572,15,NULL,25
Rosenzweig1975,Brown & Kurzius 1987,Michael L. Rosenzweig; Barbara Smigel; and Andrew Kraft,1975,Patterns of food; space and diversity,Rodents in Desert Environments; I. Prakash; P. K. Ghosh; eds.,NULL,241,268,28,NULL,2
Ryan1968,Brown & Nicoletto 1991,R. Mark Ryan,1968,Mammals of Deep Canyon; Colorado Desert; California,Desert Museum; Palm Springs; CA,NULL,NULL,NULL,62,NULL,7
Schwilk1998,Web of Science,Dylan W. Schwilk and Jon E. Keeley,1998,Rodent populations after a large wildfire in California chaparral and coastal sage scrub,The Southwestern Naturalist,43,480,483,4,NULL,1
Scott1982,US Gov Pubs,Virgil E. Scott; Glenn L. Crouch; and  Jill A. Whelan,1982,Responses of birds and small mammals to clearcutting in a subalpine forest in central Colorado,USDA; Forest Service; Rocky Mountain Forest and Range Experiment Station; Research Note RM-422,NULL,NULL,NULL,6,A 13.79: RM 422,2
Scott1988,US Gov Pubs,Virgil E. Scott and Glenn L. Crouch,1988,Summer birds and mammals of aspen-conifer forests in west-central Colorado,USDA; Forest Service; Rocky Mountain Forest and Range Experiment Station; Research Paper RM-280,NULL,NULL,NULL,6,A 13.78: RM-280,5
Sekgororoane1995,UMI,Gabotsewe Bothunkga Sekgororoane,1995,Small mammal communities in relation to forest-clearcut edges,University of New Brunswick,NULL,1,124,124,NULL,7
Senzota1985,UMI,Ramadhani Bakari Mshengeli Senzota,1985,Effects of prescribed burning on a small mammal community in post oak savannah; Texas,Texas A & M University,NULL,1,92,92,NULL,2
Sharkey2008,UMI,Charlotte Alicia Sharkey,2008,Small mammal communities and multicohort stand structure in boreal northeastern Ontario,University of Toronto,NULL,1,156,156,NULL,2
Shepard2005,Web of Science,John D. Shepherd and Rebecca S. Ditgen,2005,Human use and small mammal communities of Araucaria forests in Neuquen; Argentina,Mastozoologia Neotropical,12,217,266,50,NULL,5
Silva-Lugo2008,UMI,Jose Lorenzo Silva-Lugo,2008,Responses of plant and small mammal communities to prescribed burning in Cedar Key Scrub State Reserve,University of Florida,NULL,1,249,249,NULL,2
Smith2001,US Gov Pubs,Winston P. Smith; Matt J. Stotts; Brad A. Andres; J. M. Melton; Ann Garibaldi; and Keith Boggs,2001,Bird; mammal and vegetation community surveys of research natural areas in the Tongass National Rainforest,USDA; Forest Service; Pacific Northwest Research Station,NULL,NULL,NULL,44,A 13.78:PNW-RP-535                   ,7
Soykan2007,UMI,Candan Umit Soykan,2007,Microclimate; species diversity; and food-web interactions along a desert riparian-upland gradient,Arizona State University,NULL,1,196,196,NULL,3
Spicer1997,UMI,Julie Spicer,1997,Small mammals of Point Pelee National Park: Protecting biodiversity in small reserves,Wilfrid Laurier University,NULL,1,205,205,NULL,7
Stanko2002,BioOne,Michal Stanko; Dana Miklisova; Joelle Gouy de Bellocq; and Serge Morand ,2002,Mammal density and patterns of ectoparasite species richness and abundance,Oecologia,131,289,295,7,NULL,1
Steenbergh1977,Brown & Kurzius 1987,Warren F. Steenbergh and Peter L. Warren,1977,Ecological investigation of natural community status; Organ Pipe Cactus National Monument.,Technical Report 3; US Park Service/University of Arizona Contribution Number CPSU/UA 003/5,NULL,NULL,NULL,146,NULL,18
Sternberg2001,UMI,Mitchell A. Sternberg,2001,Comparison of rodent communities of native brushland; replanted; and secondary succession sites in the lower Rio Grande Valley of Texas,University of Texas-Pan American,NULL,1,116,116,NULL,6
